@relation features

@attribute MEAN_103_0 numeric
@attribute VARIANCE_103_0 numeric
@attribute class {moving,nonmoving,not_in_pocket}

@data
11.914244,24.437787,moving
11.751442,28.376847,moving
11.649437,25.597981,moving
12.109604,27.323416,moving
12.945478,27.126786,moving
11.994121,27.272193,moving
12.62283,25.253447,moving
12.001728,28.469228,moving
12.369725,27.019936,moving
12.306399,27.74127,moving
12.208296,27.014999,moving
12.057004,25.677957,moving
11.741917,30.261111,moving
11.618448,26.036676,moving
11.521704,27.822401,moving
11.51483,25.319391,moving
11.440956,25.623494,moving
12.201178,25.04171,moving
11.879423,25.595837,moving
12.939512,23.359149,moving
13.055424,25.855534,moving
12.716722,27.756648,moving
12.69495,28.110616,moving
12.182602,28.393613,moving
12.220278,23.256672,moving
12.273091,27.064473,moving
12.272747,27.241665,moving
11.573247,28.752772,moving
12.813883,28.634313,moving
12.643144,27.248933,moving
13.010252,24.997846,moving
13.022714,24.452411,moving
12.276809,25.100566,moving
12.125243,22.256202,moving
11.814575,25.385565,moving
11.636806,23.766685,moving
11.593815,23.658775,moving
12.500755,23.741631,moving
12.225837,24.165192,moving
12.498992,24.233247,moving
13.155033,22.789274,moving
12.890025,25.777772,moving
12.919345,23.076001,moving
12.961925,26.194856,moving
12.434077,24.145507,moving
12.141547,24.073382,moving
12.961633,23.573826,moving
12.326022,25.621932,moving
12.255233,25.828153,moving
12.350522,23.940511,moving
12.683084,25.050948,moving
12.329149,22.056672,moving
12.526014,22.860647,moving
13.273401,22.575345,moving
12.979329,25.622762,moving
13.030387,24.028841,moving
13.412077,22.577971,moving
12.916579,24.080672,moving
12.297345,21.819323,moving
12.100667,22.979917,moving
12.180369,22.054773,moving
12.024672,26.532033,moving
12.801524,26.534319,moving
12.480855,28.208354,moving
12.702058,26.073199,moving
13.197228,23.347879,moving
12.745745,24.038057,moving
12.705228,21.426566,moving
12.419453,23.022719,moving
12.701212,22.304909,moving
11.914415,25.248917,moving
12.823195,25.952501,moving
12.497361,27.338074,moving
12.826807,25.044162,moving
13.187807,24.683727,moving
12.603005,29.761698,moving
11.985208,27.356798,moving
11.637218,27.749938,moving
12.258661,25.40623,moving
12.259923,25.289268,moving
13.195696,23.24702,moving
12.62322,29.923589,moving
12.291257,33.088607,moving
12.687418,32.820109,moving
12.248377,31.818314,moving
12.039081,25.262585,moving
11.926877,26.980827,moving
12.699255,23.626048,moving
12.546596,25.127758,moving
13.140235,22.310892,moving
13.177588,22.165681,moving
12.64715,24.884669,moving
12.491161,22.630062,moving
12.248817,28.127987,moving
12.279225,26.202597,moving
12.359792,27.478161,moving
13.298082,23.139248,moving
13.109089,23.492522,moving
12.697151,24.065313,moving
12.785661,22.170023,moving
12.365685,25.7247,moving
12.237462,22.370007,moving
12.289865,25.307694,moving
12.857244,24.109513,moving
12.587828,25.608162,moving
13.267084,24.90363,moving
13.295128,24.726817,moving
12.791047,26.339194,moving
12.289965,23.934127,moving
12.132529,23.370737,moving
12.155195,22.312803,moving
12.05762,23.966011,moving
12.927107,24.747732,moving
12.851741,26.104311,moving
12.76022,26.637762,moving
12.972318,25.827388,moving
12.642186,27.752506,moving
12.184151,23.07674,moving
12.077811,21.474185,moving
12.528494,22.486331,moving
12.075797,24.532195,moving
12.39058,24.130059,moving
12.818274,24.74729,moving
12.452754,26.291104,moving
12.369983,24.198871,moving
12.496014,23.166116,moving
12.997763,22.189756,moving
12.646286,23.391821,moving
9.416974,0.00118,nonmoving
9.420648,0.000929,nonmoving
9.425572,0.000683,nonmoving
9.42539,0.000696,nonmoving
9.424897,0.00079,nonmoving
9.424807,0.000855,nonmoving
9.418759,0.000875,nonmoving
9.418469,0.000727,nonmoving
9.415066,0.000679,nonmoving
9.412751,0.001013,nonmoving
9.413314,0.001058,nonmoving
9.409779,0.001026,nonmoving
9.415349,0.00083,nonmoving
9.414807,0.001071,nonmoving
9.411534,0.001605,nonmoving
9.415316,0.002017,nonmoving
9.419147,0.002159,nonmoving
9.420659,0.001658,nonmoving
9.423211,0.001429,nonmoving
9.418879,0.001129,nonmoving
9.420039,0.000939,nonmoving
9.4248,0.001197,nonmoving
9.423326,0.00142,nonmoving
9.418455,0.001783,nonmoving
9.414609,0.001766,nonmoving
9.413752,0.001278,nonmoving
9.414787,0.000752,nonmoving
9.415169,0.000507,nonmoving
9.418607,0.000637,nonmoving
9.418919,0.000881,nonmoving
9.415699,0.001087,nonmoving
9.422783,0.001433,nonmoving
9.417883,0.001842,nonmoving
9.415089,0.002286,nonmoving
9.408642,0.002284,nonmoving
9.410744,0.001624,nonmoving
9.410573,0.001316,nonmoving
13.715194,20.486821,moving
14.182446,20.836642,moving
14.34485,21.252534,moving
13.918466,22.188713,moving
13.937156,20.859818,moving
14.312822,21.030001,moving
14.418131,20.251216,moving
14.178642,22.903105,moving
14.057897,21.639456,moving
13.984245,23.841586,moving
13.705805,23.01442,moving
14.452264,19.11574,moving
14.61527,19.032519,moving
13.767014,17.159723,moving
13.214966,23.141982,moving
13.720505,22.331148,moving
14.385185,24.465196,moving
14.75392,24.138428,moving
14.541127,26.775993,moving
14.341665,25.397439,moving
14.181499,25.162726,moving
14.282048,25.57126,moving
14.602521,21.452402,moving
14.814556,22.768496,moving
14.613707,23.416502,moving
15.077055,22.537006,moving
14.963654,18.950313,moving
14.451436,22.478749,moving
14.29493,20.680755,moving
14.636968,22.011799,moving
14.489793,20.324608,moving
14.966805,21.306808,moving
15.20766,27.101284,moving
14.179282,24.937776,moving
13.787333,27.931604,moving
14.862523,28.050888,moving
14.427491,24.071925,moving
14.958416,24.484529,moving
15.792493,30.45333,moving
15.666909,27.851687,moving
15.5614,25.411518,moving
16.06815,25.724202,moving
15.001608,22.945312,moving
14.941416,21.457327,moving
14.997814,21.842989,moving
9.42184,0.000948,nonmoving
9.422615,0.000951,nonmoving
9.427787,0.00104,nonmoving
9.431743,0.00151,nonmoving
9.424444,0.001676,nonmoving
9.426127,0.001765,nonmoving
9.427433,0.001505,nonmoving
9.428519,0.000925,nonmoving
9.420815,0.000979,nonmoving
9.421667,0.001045,nonmoving
9.413075,0.000794,nonmoving
9.422139,0.000993,nonmoving
9.4196,0.00157,nonmoving
9.422175,0.001352,nonmoving
9.420253,0.001147,nonmoving
9.421485,0.000793,nonmoving
