@relation features

@attribute MEAN_105_0 numeric
@attribute MEAN_105_1 numeric
@attribute VARIANCE_105_0 numeric
@attribute VARIANCE_105_1 numeric
@attribute MEAN_106_0 numeric
@attribute MEAN_106_1 numeric
@attribute VARIANCE_106_0 numeric
@attribute VARIANCE_106_1 numeric
@attribute VARIANCE_6_0 numeric
@attribute class {slow_walking,fast_walking,slow_running,fast_running,upstairs,downstairs}

@data
10.54098,-0.601944,36.860721,8.97798,2.172892,-0.01621,0.589579,2.25757,0.026356,slow_running
11.790689,-0.682775,29.666119,15.408332,2.416845,-0.005516,1.266483,3.113376,0.022539,fast_running
11.832173,-0.581184,32.927327,16.172025,2.48676,-0.123185,1.120751,3.161977,0.029883,fast_running
11.450302,-1.25688,38.628941,12.502355,2.323007,-0.194402,1.147049,3.308115,0.027483,fast_running
11.74091,-1.305286,37.003227,11.379507,2.511802,0.078068,1.429485,3.201397,0.036816,fast_running
11.998229,-0.608294,32.309317,15.451163,3.132454,0.02646,2.352179,5.769276,0.113765,fast_running
12.961616,0.219882,27.474088,26.387693,3.812343,-0.383096,2.970806,8.949159,0.202954,fast_running
14.036118,0.230286,21.088668,29.873641,4.178667,-0.486963,2.911144,11.468081,0.301796,fast_running
15.067938,1.139208,17.913199,42.710314,4.491983,0.188136,2.968404,13.098928,0.375992,fast_running
14.451682,2.624381,16.668169,42.212993,4.928926,0.472251,2.403495,13.070284,0.408072,fast_running
14.980737,2.24958,17.639048,38.733842,5.298518,-0.431973,2.249539,16.119733,0.438418,fast_running
15.950227,1.209648,18.808039,35.229993,5.117163,-0.665101,2.288284,16.125043,0.469982,fast_running
15.905928,0.988143,17.916148,28.683706,5.043499,0.087376,2.25679,17.803865,0.474522,fast_running
16.35118,1.695145,19.813692,32.384888,5.02726,0.894577,2.675346,17.209,0.463191,fast_running
17.078651,1.553394,21.216571,36.819477,4.8144,-0.089348,2.735637,19.043702,0.449699,fast_running
17.297446,2.114301,21.422933,36.239253,4.908646,-0.440582,2.518803,20.315969,0.483911,fast_running
17.346461,1.702759,24.444769,35.886469,4.765993,-0.628404,2.957377,19.802672,0.538087,fast_running
17.372353,1.901465,23.35603,31.519524,4.67947,-0.64358,3.262974,19.205967,0.523161,fast_running
16.774702,1.742225,25.822006,29.515545,4.55301,0.22744,3.353434,17.857594,0.466807,fast_running
16.605193,1.915047,26.932294,31.74648,4.727532,0.65649,3.194051,17.004654,0.365434,fast_running
16.126302,2.009563,27.841985,33.016933,4.555216,-0.150164,2.667234,15.314154,0.261177,fast_running
15.149226,0.698337,31.808855,30.511686,4.174852,-0.767604,2.211714,11.112989,0.103978,fast_running
14.812849,0.029595,30.565722,22.764879,3.69412,-0.206414,1.855799,8.194526,0.087762,fast_running
14.364323,0.990355,32.282999,20.808471,3.735955,-0.465593,1.880996,8.213552,0.115244,fast_running
15.856593,0.734871,32.702238,11.406289,3.982469,-1.127099,1.985747,11.034785,0.160559,fast_running
16.375712,0.313679,27.6665,17.33859,3.954,-0.151532,2.311158,12.144859,0.191117,fast_running
15.983657,1.199713,25.44077,25.101819,4.402032,0.369064,2.609205,14.226606,0.194199,fast_running
16.488189,1.53008,28.901322,38.022752,4.608087,-0.321933,3.035443,18.040268,0.25811,fast_running
16.579594,0.715935,30.593969,43.0726,4.541077,-0.722176,3.207298,18.680481,0.255018,fast_running
16.877163,1.194865,25.217599,41.93562,4.759808,0.386801,2.997192,18.343331,0.29007,fast_running
16.64326,2.562689,23.352812,47.209682,5.143319,0.767911,2.689716,17.167475,0.26872,fast_running
17.163039,3.38044,22.425953,46.530876,5.420003,-0.236469,2.269762,19.594867,0.316437,fast_running
17.56078,2.430103,22.392645,50.434312,5.249852,-0.921325,1.886583,19.50077,0.351305,fast_running
17.209387,1.769657,21.096624,41.413702,5.291521,-0.195269,1.762205,20.8088,0.329942,fast_running
17.114946,2.783716,19.561909,39.86493,5.377331,0.690836,1.662819,18.584721,0.367024,fast_running
17.079109,3.99345,20.052386,38.853347,5.523585,0.148224,1.743956,18.733643,0.373095,fast_running
